,상품명,최저가,제조사,브랜드,평점,화면크기,무게,화면추천,무게추천,디자인추천,색상추천,소음추천,사용성추천,발열추천,해상도,램,CPU,GPU
0,레노버 씽크패드 E15 G4 21ED004EKD,695400.0,레노버,씽크패드,별점4.9 / 5,15.6,1780,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1920x1080(FHD),8192,5625U,integrated graphics
1,LG전자 LG그램 16ZD90Q-EX56K,1759000.0,LG전자,LG그램,별점5.0 / 5,16.0,1285,0.0,1.0,1.0,0.0,0.0,0.0,0.0,2560x1600(WQXGA),16384,i5-1240P,RTX2050
2,엠피지오 블랙제트 MLNT150111,702050.0,엠피지오,엠피지오,별점5.0 / 5,15.6,1800,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1920x1080(FHD),8192,i5-1135G7,integrated graphics
3,베이직스 베이직북13 2세대 BB1321FW,385000.0,베이직스,베이직스,별점4.7 / 5,13.0,1280,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1920x1080(FHD),8192,N4120,integrated graphics
4,엠피지오 루카스14,339000.0,엠피지오,엠피지오,별점4.6 / 5,14.1,1220,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1920x1080(FHD),4096,N4020,integrated graphics
5,삼성전자 갤럭시북 프로360 NT950QDY-A51A,1449000.0,삼성전자,갤럭시북 프로360,별점4.9 / 5,15.6,1390,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1920x1080(FHD),16384,i5-1135G7,integrated graphics
6,삼성전자 갤럭시북2 NT550XEZ-A58A,737000.0,삼성전자,갤럭시북2,별점4.9 / 5,15.6,1800,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1920x1080(FHD),8192,i5-1235U,integrated graphics
7,LG전자 LG그램 15ZD95P-GX56K,1287990.0,LG전자,LG그램,별점4.9 / 5,15.6,1120,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1920x1080(FHD),16384,i5-1155G7,integrated graphics
8,LG전자 LG그램 17Z95P-GA76K,1739000.0,LG전자,LG그램,별점4.9 / 5,17.0,1350,1.0,0.0,1.0,0.0,0.0,0.0,0.0,2560x1600(WQXGA),16384,i7-1195G7,integrated graphics
9,레노버 씽크패드 E15 G4 21ED004EKD,695400.0,레노버,씽크패드,별점4.9 / 5,15.6,1780,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1920x1080(FHD),8192,5625U,integrated graphics
10,HP Victus 16-e0107AX,929000.0,HP,HP,별점4.6 / 5,16.0,2460,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1920x1080(FHD),8192,5600H,RTX3050
11,포유디지탈 아이뮤즈 스톰북 윈도우10포함,279000.0,포유디지탈,아이뮤즈,별점4.7 / 5,14.1,1300,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1366x768(FWXGA),4096,N4020,integrated graphics
12,HP 파빌리온 x360 14-ek0082TU,1039000.0,HP,파빌리온,별점4.8 / 5,14.0,1610,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1920x1080(FHD),16384,i5-1235U,integrated graphics
13,삼성전자 갤럭시북 NT750XDA-X71A,1359000.0,삼성전자,갤럭시북,별점4.9 / 5,15.6,1590,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1920x1080(FHD),16384,i7-1165G7,MX450
