,상품명,최저가,제조사,브랜드,평점,화면크기,무게,화면추천,무게추천,디자인추천,색상추천,소음추천,사용성추천,발열추천,해상도,램,CPU,GPU
0,레노버 씽크패드 E15 G4 21ED004EKD,"695,400원",레노버,씽크패드,별점4.9 / 5,39.62cm(15.6인치),1.78kg,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1920x1080(FHD),8GB,라이젠5-5625U,라데온 Graphics
1,LG전자 LG그램 16ZD90Q-EX56K,"1,759,000원",LG전자,LG그램,별점5.0 / 5,40.6cm(16인치),1.285kg,0.0,1.0,1.0,0.0,0.0,0.0,0.0,2560x1600(WQXGA),LG그램,코어i5-1240P,RTX2050
2,엠피지오 블랙제트 MLNT150111,"702,050원",엠피지오,엠피지오,별점5.0 / 5,39.62cm(15.6인치),1.8kg,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1920x1080(FHD),8GB,코어i5-1135G7,Iris Xe Graphics
3,베이직스 베이직북13 2세대 BB1321FW,"385,000원",베이직스,베이직스,별점4.7 / 5,33.02cm(13인치),1.28kg,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1920x1080(FHD),8GB,셀러론-N4120,셀러론-N4120
4,엠피지오 루카스14,"339,000원",엠피지오,엠피지오,별점4.6 / 5,35.81cm(14.1인치),1.22kg,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1920x1080(FHD),4GB,셀러론-N4020,UHD600
5,삼성전자 갤럭시북 프로360 NT950QDY-A51A,"1,449,000원",삼성전자,갤럭시북 프로360,별점4.9 / 5,39.62cm(15.6인치),1.39kg,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1920x1080(FHD),16GB,코어i5-1135G7,Iris Xe Graphics
6,삼성전자 갤럭시북2 NT550XEZ-A58A,"737,000원",삼성전자,갤럭시북2,별점4.9 / 5,39.62cm(15.6인치),1.8kg,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1920x1080(FHD),8GB,코어i5-1235U,UHD Graphics
7,LG전자 LG그램 15ZD95P-GX56K,"1,287,990원",LG전자,LG그램,별점4.9 / 5,39.62cm(15.6인치),1.12kg,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1920x1080(FHD),LG그램,코어i5-1155G7,Iris Xe Graphics
8,LG전자 LG그램 17Z95P-GA76K,"1,739,000원",LG전자,LG그램,별점4.9 / 5,43.1cm(17인치),1.35kg,1.0,0.0,1.0,0.0,0.0,0.0,0.0,2560x1600(WQXGA),LG그램,코어i7-1195G7,Iris Xe Graphics
9,레노버 씽크패드 E15 G4 21ED004EKD,"695,400원",레노버,씽크패드,별점4.9 / 5,39.62cm(15.6인치),1.78kg,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1920x1080(FHD),8GB,라이젠5-5625U,라데온 Graphics
10,HP Victus 16-e0107AX,"929,000원",HP,HP,별점4.6 / 5,40.6cm(16인치),2.46kg,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1920x1080(FHD),8GB,라이젠5-5600H,지포스 RTX3050
11,포유디지탈 아이뮤즈 스톰북5 WIN10,"339,000원",포유디지탈,아이뮤즈,별점4.8 / 5,null,1.8kg,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1920x1080(FHD),4GB,셀러론-N4020,UHD600
12,포유디지탈 아이뮤즈 스톰북 윈도우10포함,"279,000원",포유디지탈,아이뮤즈,별점4.7 / 5,35.81cm(14.1인치),1.3,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1366x768(FWXGA),4GB,셀러론-N4020,셀러론-N4020
13,HP 파빌리온 x360 14-ek0082TU,"1,039,000원",HP,파빌리온,별점4.8 / 5,35.56cm(14인치),1.61kg,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1920x1080(FHD),16GB,코어i5-1235U,Iris Xe Graphics
14,삼성전자 갤럭시북 NT750XDA-X71A,"1,359,000원",삼성전자,갤럭시북,별점4.9 / 5,39.62cm(15.6인치),1.59kg,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1920x1080(FHD),16GB,코어i7-1165G7,지포스 MX450
15,레노버 리전 5 Pro 16ACH R7 STORM 3070 DOS,"1,847,000원",레노버,리전,별점4.8 / 5,40.6cm(16인치),2.59kg,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2560x1600(WQXGA),32GB,라이젠7-5800H,RTX3070
16,HP Victus 15-fa0051TX,"899,000원",HP,HP,별점4.9 / 5,39.62cm(15.6인치),2.29kg,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1920x1080(FHD),8GB,코어i5-12450H,지포스 RTX3050
17,한성컴퓨터 올데이롱 TFX5556U,"859,000원",한성컴퓨터,한성컴퓨터,별점4.9 / 5,39.62cm(15.6인치),1.4kg,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1920x1080(FHD),16GB,라이젠5-5560U,라데온 Graphics
